1 , 4.77444e-13
2 , -9.61217e-13
3 , 1.43155e-12
4 , -1.89512e-12
5 , 2.37365e-12
6 , -2.85387e-12
7 , 3.32757e-12
8 , -3.80086e-12
9 , 4.27434e-12
10 , -4.75155e-12
11 , 5.22912e-12
12 , -5.70172e-12
13 , 6.17551e-12
14 , -6.65215e-12
15 , 7.12813e-12
16 , -7.60342e-12
17 , 8.07702e-12
18 , -8.55166e-12
19 , 9.02882e-12
20 , -9.50401e-12
21 , 9.97786e-12
22 , -1.04529e-11
23 , 1.09284e-11
24 , -1.14045e-11
25 , 1.18793e-11
26 , -1.23531e-11
27 , 1.28289e-11
28 , -1.3305e-11
29 , 1.37798e-11
30 , -1.42545e-11
