1 , 0.0445071
2 , -0.00556339
3 , 0.00164841
4 , -0.000695424
5 , 0.000356057
6 , -0.000206051
7 , 0.000129758
8 , -8.6928e-05
9 , 6.10523e-05
10 , -4.45071e-05
11 , 3.34389e-05
12 , -2.57564e-05
13 , 2.02581e-05
14 , -1.62198e-05
15 , 1.31873e-05
16 , -1.0866e-05
17 , 9.05906e-06
18 , -7.63154e-06
19 , 6.48887e-06
20 , -5.5634e-06
21 , 4.80588e-06
22 , -4.17987e-06
23 , 3.65803e-06
24 , -3.21957e-06
25 , 2.84847e-06
26 , -2.53228e-06
27 , 2.26121e-06
28 , -2.02749e-06
29 , 1.8249e-06
30 , -1.64843e-06
